Country,Gold,Silver,Bronze
Albania,0,0,2
Algeria,2,0,1
Argentina,1,1,1
Armenia,0,3,1
Australia,18,19,16
Austria,2,0,3
Azerbaijan,2,2,3
Bahrain,2,1,1
Belgium,3,1,6
Botswana,1,1,0
Brazil,3,7,10
Bulgaria,3,1,3
Canada,9,7,11
Cape Verde,0,0,1
Chile,1,1,0
China,40,27,24
Chinese Taipei,2,0,5
Colombia,0,3,1
Croatia,2,2,3
Cuba,2,1,6
Cyprus,0,1,0
Czechia,3,0,2
Denmark,2,2,5
Dominica,1,0,0
Dominican Republic,1,0,2
Ecuador,1,2,2
Egypt,1,1,1
Ethiopia,1,3,0
Fiji,0,1,0
France,16,26,22
Georgia,3,3,1
Germany,12,13,8
Great Britain,14,22,29
Greece,1,1,6
Grenada,0,0,2
Guatemala,1,0,1
Hong Kong,2,0,2
Hungary,6,7,6
India,0,1,5
Indonesia,2,0,1
Iran,3,6,3
Ireland,4,0,3
Israel,1,5,1
Italy,12,13,15
Ivory Coast,0,0,1
JamaicaJ,1,3,2
Japan,20,12,13
Jordan,0,1,0
Kazakhstan,1,3,3
Kenya,4,2,5
Kosovo,0,1,1
Kyrgyzstan,0,2,4
Lithuania,0,2,2
Malaysia,0,0,2
Mexico,0,3,2
Moldova,0,1,3
Mongolia,0,1,0
Morocco,1,0,1
Netherlands,15,7,12
New Zealand,10,7,3
North Korea,0,2,4
Norway,4,1,3
Pakistan,1,0,0
Panama,0,1,0
Peru,0,0,1
Philippines,2,0,2
Poland,1,4,5
Portugal,1,2,1
Puerto Rico,0,0,2
Qatar,0,0,1
Refugee Olympic Team,0,0,1
Romania,3,4,2
Saint Lucia,1,1,0
Serbia,3,1,1
Singapore,0,0,1
Slovakia,0,0,1
Slovenia,2,1,0
South Africa,1,3,2
South Korea,13,9,10
Spain,5,4,9
Sweden,4,4,3
Switzerland,1,2,5
Tajikistan,0,0,3
Thailand,1,3,2
Tunisia,1,1,1
Turkey,0,3,5
Uganda,1,1,0
Ukraine,3,5,4
United States,40,44,42
Uzbekistan,8,2,3
Zambia,0,0,1
